Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Huntingdale (WA)","Warton Rd, Huntingdale","Little chance to turn/cross traffic",3,"Turning right onto Warton from Matilda and then trying to cross busy lanes to turn left into Discovery Drive Thiornlie",115.9665150245,-32.0711333842
"Huntingdale (WA)","Bullfinch St & Southern River Rd, Huntingdale","Little chance to turn/cross traffic",1,"Very difficult to navigate, poorly timed traffic ",115.9731817245,-32.0930824182
"Huntingdale (WA)","Huntingdale Rd, Huntingdale","Little chance to turn/cross traffic",0,"",115.9615302086,-32.0755383457
"Huntingdale (WA)","Harpenden Street, Huntingdale","Vehicles travel over the speed limit",0,"Speeding both day and dight",115.96217153840063,-32.080589604709246
