Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Glen Forrest","Great Eastern Hwy & Hardey Rd, Glen Forrest","Area requires lights/roundabout",0,"To my knowledge here have been multiple accidents at this intersection including two deaths",116.1040306091,-31.904011311
"Glen Forrest","94 & Bilgoman Rd, Glen Forrest","Vegetation/objects block visibility",0,"Difficult to see oncoming vehicles travelling to midland  due to the topography of the land ,  You pull out with vehicles doing 80km plus coming at you.  dangerous situation. ",116.0894715786,-31.9009509449
"Glen Forrest","Great Eastern Hwy & Hardey Rd, Glen Forrest","Little chance to turn/cross traffic",0,"",116.104336381,-31.9030731739
