Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Yakamia","Aldex St & Kampong Rd, Yakamia","Other",0,"far too many people turn into it on the wrong side of the road nearly and it enters onto a blind lazy bend that has had many near misses over the years",117.8797709942,-35.0033637117
"Yakamia","Bethel Way & North Rd, Centennial Park","Little chance to turn/cross traffic",0,"had many a car cut out from bethel way in front of me while being a passenger and driver too cross the road after dropping kids off at/picking kids up from school and seen many near misses and had many near misses there",117.8817397356,-35.0080037427
