Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Alexander Heights","261-261 Alexander Dr, Alexander Heights","Other",0,"People heading north often run amber and sometimes red lights in their hurray tp make the Hepburn Ave intersection.   Red light camera would be good. ",115.87680727242814,-31.822881800931807
"Alexander Heights","Adria Rd, Alexander Heights","Area requires lights/roundabout",0,"Vehicles, truckes and trailers and buses all doing u-turns because the intersection lacks any other option to turn right onto Marangaroo Drive from Adria Road. Cars traveling along Marangaroo drive are also mostly speeding and vision is impaired slightly due to bend in road. ",115.8590269089,-31.8349097123
"Alexander Heights","Hepburn Ave & The Avenue, Alexander Heights","Little chance to turn/cross traffic",0,"turning right from the avenue onto Hepburn Ave. The vehicles going along Hepburn ave are travelling 70km/h (or sometimes more if speeding) and there is not enough time to get up to speed once you have entered the thoroughfare. There is also hard to judge where they are based on the angle you are on in the median strip",115.8671593666,-31.8211907487
"Alexander Heights","Hepburn Ave, Alexander Heights","Poor or no guard/barrier fencing",0,"",115.8543813229,-31.8209628417
"Alexander Heights","56 & Illawarra Cres N, Alexander Heights","Speed limit too high",0,"speed in excess. Vehicles travell 100-150km/h",115.8769011497,-31.8263071122
