Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Collie (WA)","3-21 Gane Rd, Collie","Vehicles travel over the speed limit",0,"When you drive along Preston Rd Collie WA 6225 and go to slow down at the corner of Gane Rd to turn right, every single time cars try to over take you on the right and left of you... Because they just won't slow down.The speed limit is 90 and we are talking 100 to 120 + every day. We have a lot of young children living in this area but people just don't have any respect for others, the law nor themself. ",116.1576104164,-33.3727210098
"Collie (WA)","Prinsep St S & Throssell St, Collie","Little chance to turn/cross traffic",1,"High numbers of trucks use this road. It's a busy intersection and Princep St from  North, turning right into Throssell St is difficult with reduced visibility and long delays before you can cross safely.",116.1506581306,-33.3593609867
"Collie (WA)","Coalfields Rd, Collie","Poor road surface quality",0,"Bad surface for a roadtrain route.",116.1157578294,-33.3473544637
