Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Koondoola","56 & 81, Koondoola","Little chance to turn/cross traffic",0,"",115.876750946,-31.8350555507
"Koondoola","Beach Rd, Mirrabooka","Little chance to turn/cross traffic",2,"",115.8776038885,-31.8506953911
