Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Allanson","Coalfields Rd & Rose Rd, Allanson","Other",1,"When coming from collie and turning into rose rd people dont slow down while your making the turn or slow down to pass you as your waiting for the clear. Nearly had a truck take me and my two young kids out from behind us as we where waiting for a clearing to cross over onto rose rd and have experienced it may of times",116.0781393565,-33.3367887019
"Allanson","Coalfields Rd, Allanson","Speed limit too high",0,"The speed limit changes from 80kmh to 100kmh when travelling west.  People who are turning right into their driveways or into Cockram or Rose Rds risk being rear ended as cars speed up as the speed limit increases but they are slowing down to turn.  Often this can be a loaded semi trailer.",116.0871434212,-33.3379681346
"Allanson","Coalfields Rd, Allanson","Other",2,"not enough space for vehicles to pass if turning right off the highway. While waiting to turn right onto Rose road I was nearly taken out by a truck trying to squeeze past. This happens regularly and there are multiple roads and driveways along this stretch of Highway all have the same issues",116.0866928101,-33.3382728875
"Allanson","Coalfields Rd & Rose Rd, Allanson","Speed limit too high",0,"",116.0781940592,-33.337101501
"Allanson","Coalfields Rd, Allanson","Speed limit too high",2,"Cars driving very closely on rear very stressful turn",116.078171432,-33.3366662005
