Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Waterford (WA)","26 & Gillon St, Waterford","Tight curves or blind crests",2,"When coming out of Gillion and turning left onto Manning Road, the median strip rest is too curved and doesn�۪t allow drivers to safely wait for west traffic to pass.  Also the intersection has seen many near misses with people not travelling at 60km/h in any direction!",115.8808493614,-32.0119788185
"Waterford (WA)","26 & Centenary Ave, Waterford","Poorly timed traffic light system",1,"Slip lane too small for the amount of traffic leaving the university",115.8988952637,-32.0137073044
