Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Kunjin","Rabbit Proof Fence Rd, Corrigin","Vegetation/objects block visibility",1,"Travelling on Brookton Highway crossing the Fence Road intersection is very dangerous - there's been several accidents & plenty more near misses. Vehicles travelling on Fence Rd fail to register there is a cross road & travel straight through without stopping. Also travelling in a westerly direction on Brookton Highway you are down in a valley, there are trees & you can't see vehicles travelling north on the Fence Road before it's too late.  ",117.8043365479,-32.3683630677
"Kunjin","Brookton-Corrigin Rd, Kunjin","Poor road surface quality",0,"From Brookton through to Ravensthorpe there are many areas where the bitumen has risen to a peak, either on the edges or in the middle of the road . ",117.6768779755,-32.3676743661
