Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Rossmoyne","Bull Creek Rd, Rossmoyne","Poor road surface quality",0,"East Bound right lanes of poor quality",115.8713455328,-32.0429809525
"Rossmoyne","7 & Fifth Ave, Shelley","Little chance to turn/cross traffic",0,"",115.8741250634,-32.041101726
