Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Lyalls Mill","Hardey Rd, Glen Forrest","Speed limit too high",0,"Old Northam Rd   intersection  to Chidlow",116.1187980138,-33.470801839
"Lyalls Mill","1260-1476 Collie-Preston Rd, Lyalls Mill","Narrow road, lanes or bridges",0,"Large trucks also use this road witch I consider is only wide enough for motorcars.",116.1194801331,-33.4774153712
