Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Kalgan","591-633 Hunton Rd, Kalgan","Tight curves or blind crests",0,"Speed too high and road to narrow for residents to come out onto the road.  No signage for blind driveways. ",118.007004261,-34.943608607
"Kalgan","Hunton Rd & Nanarup Rd, Kalgan","Poor road markings or no edge-lines",0,"Vehicles travel too fast coming into town. White line allows you to overtake as you come into the intersection with poor visibility. Vehicles entering from Hunton Rd run the gauntlet.",118.0058884621,-34.9488500213
