Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Ravenswood (WA)","South Yunderup Rd, Ravenswood","Tight curves or blind crests",1,"Narrow section going and sharp bend going over the bridge",115.8221948147,-32.5921839682
"Ravenswood (WA)","351-351 Paterson Rd, Pinjarra","Vehicles travel over the speed limit",0,"The narrow bridge cars crossed over the centre lane because going to fast  ",115.8782958984,-32.585006459
"Ravenswood (WA)","South Yunderup Rd, Ravenswood","Narrow road, lanes or bridges",0,"It's now a drag strip from traffic lights 80km to 50km over bridge, people speeding, increased traffic with new schools and shops. No room for larger vehicles even transperth buses over speed limit, no pedestrian or bike lane, someone will be killed head on soon, just hope not my family.",115.8219997193,-32.5921893518
"Ravenswood (WA)","South Yunderup Rd, Ravenswood","Tight curves or blind crests",0,"vehicles frequently approach bend too fast and cross the centre line. Vehicles approaching from the opposite direction are unsighted.",115.8220902085,-32.5922698417
"Ravenswood (WA)","Paterson Rd, Ravenswood","Narrow road, lanes or bridges",0,"At lest once Amonth  you see a recked car in some poor farmers paddock ",115.8662796021,-32.5721867573
