Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Whiteman","53 & Marshall Rd, Beechboro","Little chance to turn/cross traffic",3,"Poor intersection with inadequate lights. Usually congested with a large number of trucks. Recent upgrade was cheap and pitiful, and made the intersection more unsafe as the lanes merge sooner.",115.9247946739,-31.8556438092
"Whiteman","Hepburn Ave, Cullacabardee","Confusing layout",0,"",115.9192800522,-31.8428393458
"Whiteman","Lord St, Whiteman","Vehicles travel over the speed limit",0,"Lord St (between Gnangara Rd & Reid Hwy) is where Main Roads is carrying out roadworks.  The main posted speed limits are 40 or 60 km/h.  Everyone seems to be doing at least 80 km/h which is obviously 20-40 km over the posted speed limits.  THE POLICE NEED TO HAVE A VERY HIGH PRESENCE IN THE AREA.",115.9624691384,-31.8256940551
