Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Green Range","1, Mettler","Narrow road, lanes or bridges",0,"Lots of road trains on this road and tourists with trailers and caravans no room for error.",118.3768285392,-34.6331108059
"Green Range","1, Mettler","Poor road surface quality",0,"Very poor road narrow from cheynes beack turn of all the way to ravensthorpe and with alot of trucks traveling that road it really needs something done",118.3767618376,-34.6296719335
