Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Beldon","71, Beldon","Vehicles travel over the speed limit",1,"Vehicles approaching this roundabout along Marmion Ave southbound do so at speed, and often drivers in the outer lane do not give way to oncoming traffic, and continue driving through the roundabout when there are vehicles already on the roundabout to which they must give way, regardless of the lane they are utilising.",115.7547211647,-31.7795792907
"Beldon","71, Mullaloo","Poor road markings or no edge-lines",1,"Perth drivers are oblivious to the fact that they cannot change lanes in roundabouts, making it extremely dangerous for those in the left lane heading south.",115.7545119524,-31.7795929713
