Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"West Toodyay","Toodyay West Rd, Coondle","Poor road surface quality",0,"This road is narrow and the surface especially the edges are worn broken up and damaged",116.4455294609,-31.5279401491
"West Toodyay","563-563 Julimar Rd, West Toodyay","Tight curves or blind crests",0,"This bend has taken the life of many and injured many others. Most recent was a police officer. Yes a lot of people speed through here but even I slow down for this bend as the tamber and angles are not suited.",116.4141154289,-31.5257452989
"West Toodyay","805-805 Julimar Rd, West Toodyay","Poor road surface quality",0,"The whole of Julimar road especially Chittering rd end is absolutely shocking. Holes wash outs crumbling sides",116.3840317726,-31.5217578557
