Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Arrowsmith","26902-26902 Brand Hwy, Arrowsmith","Poor road surface quality",0,"road from indian ocean dve to south of eneabba badly corrugated needs resurfacing urgently",115.0598144531,-29.5352295629
"Arrowsmith","Indian Ocean Dr, Arrowsmith","Narrow road, lanes or bridges",2,"Many caravans and trailer boats use this section of road and the narrow roads don't allow much room between vehicles in either direction.",114.9795413017,-29.5669437394
