Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Narrikup","30, Narrikup","Lacks overtaking opportunities",2,"There has been lots of accidents including fatalities on this section of road. The overtaking lane starts south of Jackson Rd and people start to build up speed to ensure they can overtake, however there are 2 roads east & west of Albany Hwy where people need to turn off. The overtaking lane further south should have started before Hannan Way & Jackson Rd, or at least have a vehicle lane for turning traffic to Jackson Rd.",117.7093648911,-34.7732390053
"Narrikup","952-1130 Chorkerup Rd, Narrikup","Poor road surface quality",0,"Poor drainage on the road edge. Drains need reforming to prevent washout over the road.",117.6707839966,-34.8321934119
"Narrikup","Chorkerup Rd & Creek Rd, Narrikup","Vegetation/objects block visibility",0,"Junction is dangerous due to vegetation and tight angles and no clear definition of who has the right of way",117.6254653931,-34.8085180477
"Narrikup","Albany Hwy & Hannan Way, Narrikup","Poor road surface quality",0,"Several accidents and near misses. This area needs to be straightened and widened with barriers and lanes to leave, and enter Albany Hwy. A speed reduction, lighting and resurfacing would help too.",117.7089436245,-34.7700388302
"Narrikup","143-143 Spencer Rd, Narrikup","Vehicles travel over the speed limit",0,"Albany H'way",117.6992797852,-34.7686914576
