Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Jurien Bay","Indian Ocean Dr, Jurien Bay","Speed limit too high",2,"Danderous overtaking",115.0744867494,-30.3865623635
"Jurien Bay","Sandy Cape Rd, Jurien Bay","Lacks overtaking opportunities",0,"Relatively modern road but unfortunateky the builders went around the sand hills/rises but did not make passing lanes to allow single vehicles travelling at limit 110km.hr to pass caravans and camper trailers. hence they take the risk and cannot see into the distance for safe passing.",115.0048828125,-30.2021136791
