Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Cooljarloo","60, Cooljarloo","Poor road surface quality",3,"I travel Indian Ocean drive 4/5 times a year and every time I am overtaken by inpatient idiots who exceed the speed limit and cross double white lines and cut back in front of cars not leaving enough room.  I would like the police to monitor this road more often to correct these drivers bad habits. This would be a good road to put the speed cameras that measure car speeds over a distance to catch these habitual speeders",115.3491926193,-30.8463843182
"Cooljarloo","60, Cooljarloo","Vehicles travel over the speed limit",1,"Overtaking on double white lines, overtaking on crests, tail gating, ",115.322971344,-30.8106382475
"Cooljarloo","60, Cooljarloo","Narrow road, lanes or bridges",0,"",115.349702239,-30.8471166049
