Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Dingup","Perup Rd, Balbarrup","Poor road surface quality",0,"",116.2431907591,-34.2324071943
"Dingup","Balbarrup Rd & Perup Rd, Dingup","Tight curves or blind crests",0,"When at the intersection facing Nth on Balbarrup Rd, visibility of traffic on Perup Rd from the sharp left hand curve and the Sharp right hand curve that dips down low toward the Wilgarup River Bridge is dangerous. Gaining clear visibility is very difficult. If you decide to take off the gravel side of the road causes tire spin as your trying to make it across safely, if a Vehicles is travelling at speed there could be a very real potential for serious collision.",116.2038946152,-34.2151558466
