Local Government Area,Location,Main risk,Supports,Description,Longitude,Latitude
"YALGOO","Great Northern Hwy","Poor road surface quality",0,"Many road trains and wide loads use this road. Very dangerous when passing or oncoming. Road is too narrow.",117.6979064941,-29.1821402818
"YALGOO","123, Yalgoo","Other",0,"High risk of hitting animals ie emus, kangaroos goats ect",116.6985690594,-28.3487492409
