Local Government Area,Location,Main risk,Supports,Description,Longitude,Latitude
"GNOWANGERUP","Formby Rd S & Gnowangerup-Jerramungup Rd, Pallinup","Tight curves or blind crests",7,"Number of crashes & near misses. Poorly aligned intersection.",118.0656695366,-33.9614617089
"GNOWANGERUP","Broomhill/Kerramungup Road","Poor road surface quality",0,"I have travelled this road frequently.  It has just had band aid solutions.  The amount of large trucks using this road creates the potential for a very disastors accident.  Most of the road does not have white lines on the side.  No overtaking lanes and is very narrow",118.65234375,-33.9706979974
