Local Government Area,Location,Main risk,Supports,Description,Longitude,Latitude
"QUAIRADING","Bruce Rock-Quairading Rd, Pantapin","Tight curves or blind crests",0,"Tight S bend over a bridge pluss trucks entering, a death already on this segtion. Andy",117.6543045044,-31.9620661083
"QUAIRADING","Old Beverley Rd, South Caroling","Poor road surface quality",0,"TEST Please Ignore",117.4507141113,-32.0808291927
