Local Government Area,Location,Main risk,Supports,Description,Longitude,Latitude
"JERRAMUNGUP","southcoast highway","Narrow road, lanes or bridges",0,"narrow roads with tight corners, heavy traffic, speeding, overtaking when not safe because stuck behind trucks and caravans who struggle on the hills...",118.7786865234,-34.3337974806
"JERRAMUNGUP","26133-26133 South Coast Hwy, Jacup","Poor road surface quality",0,"Parts of the South Coastal Highway between Jerramungup and Esperance are in atrocious condition considering this area has high traffic volumes at times. There is also a substantial amount of semi trailers that use the road so it needs to be nominated for works as soon as possible.",119.2785644531,-33.8247936183
