Local Government Area,Location,Main risk,Supports,Description,Longitude,Latitude
"BODDINGTON","446-516 Bannister-Marradong Rd, Bannister","Poor road surface quality",0,"when road is damp it becomes extremely slippery like ice & when doing 80km in 100km zone vehicle slide off the road into oncoming traffic",116.5006542206,-32.7459913007
"BODDINGTON","Albany Hwy & Crossman Rd, Crossman","Little chance to turn/cross traffic",2,"No slip lane to turn into Crossman Rd off Albany Hwy, or cross the intersection. Very busy intersection for light and heavy vehicles. Speed limit passing through the intersection was raised to 110. The school bus travels this route. I have witnessed an accident first hand at this intersection. Formal letters have been written to the council, but no changes have been made.",116.5953905831,-32.7812392232
"BODDINGTON","191-191 Lower Hotham Rd, Lower Hotham","Tight curves or blind crests",0,"As above",116.4220118523,-32.8834704926
"BODDINGTON","30, Crossman","Lacks overtaking opportunities",0,"The Albany Highway is in a generally poor condition that does not meet the needs or standard required for the drivers that use it.  It has sub standard surface quality (very potholed), little or no road edging and straight onto gravel in some areas, not enough overtaking lanes.  It needs to be a dual carriage highway from Armadale all the way to Albany, but especially from Armadale to Williams at the very least.",116.5937805176,-32.7781823137
"BODDINGTON","Adam St & Pollard St, Boddington","Poor road surface quality",0,"Very narrow and risky roads",116.4633178711,-32.7965101095
"BODDINGTON","Albany Highway","Poor road surface quality",0,"road surface is rough, uneven, and dangerous, vehicles attempt to overtake on bends, trucks at low speed attempt to overtake in overtaking lains, with cars then attempting to overtake on wrong side of road.",116.4852905273,-32.6827302436
"BODDINGTON","Bannister-Marradong Rd & Pinjarra-Williams Rd, Marradong","Tight curves or blind crests",0,"It is a very tight turn which means slowing down from 110km/hr on a single lane road relying on vehicles behind you noting you are turning.",116.4483833313,-32.8588972951
"BODDINGTON","Albany Hwy, Bannister","Poor road surface quality",0,"Albany Highway between North Bannister and Williams. A big stretch but some bad spots in between. Road damage from heavy haulage etc. Also not enough overtaking lanes. Trucks vying with each other to overtake each other and blocking off normal traffic. More prevalent there than on the Brookton Highway for instance.",116.5723228455,-32.7431758382
"BODDINGTON","55 klms from armadale lights on Albany  Hwy","Poor road surface quality",0,"Albany highway 55klms from the Albany Hwy/ Armadale Rd intersection heading south. Riding my motorcycle southbound when it slid out of control caused by the road surface. Road was wet at the time. I was not speeding with 4 witnesses Seeing the crash unfold before them. On examining the surface the next day I found parts from another motorcycle, one of which had the licence plate attached. Murdoch police station notified the owner. He  made contact with me as his bike also slid out in the same pl",116.4059829712,-32.5430508341
